Date,Close,High,Low,Open,Volume
,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
15-09-2021,1522.8822021484375,1526.1300664600856,1503.973529549805,1506.687523653375,4062344
16-09-2021,1514.695556640625,1529.8224912641472,1505.085460608043,1526.2186780967872,3246568
17-09-2021,1504.9522705078125,1528.7104157088386,1498.8569179841036,1510.024199917287,7454864
20-09-2021,1501.882324,1519.5452254836232,1493.0730864950874,1499.3463595187543,5660743
21-09-2021,1529.11084,1536.4963878637336,1499.0349948323485,1512.693707466829,4672222
22-09-2021,1527.731689453125,1547.3077257336527,1524.3059048281496,1527.8206497121014,4553892
23-09-2021,1550.5555419921875,1552.7355570624668,1531.4688420353173,1541.1678996173023,3826090
24-09-2021,1569.508544921875,1590.997713616821,1559.3645780438271,1564.3031211064717,8280446
27-09-2021,1531.5133056640625,1574.0911595675952,1528.7993119407154,1573.868704627012,5045337
28-09-2021,1501.215087890625,1521.591984731913,1490.448289137985,1521.591984731913,6557197
29-09-2021,1505.797607421875,1513.9394805910563,1472.6518187520774,1476.4335530298395,7792548
30-09-2021,1490.625977,1515.3630086427124,1486.0879176383012,1515.3630086427124,6914031
01-10-2021,1481.6834716796875,1493.9629198300943,1478.2131527121837,1481.638937241155,5733906
04-10-2021,1493.785156,1502.0159903201786,1481.906082316077,1488.2237818782576,2947154
05-10-2021,1506.2869873046875,1515.3185712967768,1479.7703140555798,1486.8888723913853,4373310
06-10-2021,1489.1580810546875,1520.7021518744143,1485.9991770803229,1514.5623730713419,4271698
07-10-2021,1504.685302734375,1516.4308808095564,1491.9164101508402,1501.1260234848555,5476108
08-10-2021,1533.915771484375,1540.7229143721906,1511.2699020416023,1517.3651456732186,4738376
11-10-2021,1504.640869140625,1539.3883785911644,1480.393277628134,1496.6770247342997,8840633
12-10-2021,1499.4801025390625,1502.905887604331,1478.8807490813488,1492.2280482607832,7439300
13-10-2021,1520.879883,1524.8396458972372,1494.9417238334045,1509.0897710508837,7104171
14-10-2021,1526.708496,1587.082754690168,1511.0921133732145,1560.7441073282457,19655776
18-10-2021,1594.6905517578125,1600.7857955699135,1548.2864281776817,1548.2864281776817,13438109
19-10-2021,1621.385254,1632.3745072788313,1585.9259547717893,1614.1332004381575,10324260
20-10-2021,1603.7667236328125,1644.3870199570588,1596.3812843324115,1627.8363931036856,5876115
21-10-2021,1560.432617,1614.1332239446729,1554.3817986991194,1614.1332239446729,8779629
22-10-2021,1530.312255859375,1568.9303513205284,1518.9225180752499,1557.095812221997,7369809
25-10-2021,1519.4117431640625,1539.1656979786608,1501.303824526678,1532.3141294168104,5905209
26-10-2021,1529.421142578125,1549.9786248274681,1522.419103935256,1535.1216613849867,5871709
27-10-2021,1552.0885009765625,1556.756637192978,1527.132343848043,1534.2690615933016,5090259
28-10-2021,1529.600830078125,1548.3179728132604,1518.9630389912397,1543.4703399076664,5329972
29-10-2021,1497.1485595703125,1537.4106350284148,1491.1339757021285,1525.2018604167058,5875091
01-11-2021,1526.1448974609375,1532.5634067199912,1504.5550276050294,1505.9015864006187,3636806
02-11-2021,1524.2147216796875,1531.890040630247,1513.8461757071277,1521.611352905563,3471772
03-11-2021,1528.343994140625,1541.7646508726255,1525.2020241086177,1534.179081342924,3530713
04-11-2021,1533.909668,1541.3606690256308,1530.5882007505536,1539.5652576464513,483407
08-11-2021,1559.7637939453125,1562.9057641777204,1528.792944511578,1553.0310005901529,5245903
09-11-2021,1564.2523193359375,1570.9851126759775,1549.4401739878497,1557.2950995512297,4016134
10-11-2021,1562.142578,1571.837734,1545.8042688196354,1549.4400206968505,4780368
11-11-2021,1555.993408203125,1561.7835664122908,1534.179114814545,1555.679123526493,4731349
12-11-2021,1598.095703,1600.4746452356892,1560.257494120251,1564.7010936682932,5069009
15-11-2021,1604.334716796875,1615.8702127881927,1593.8764237807977,1599.8012593110454,4354074
16-11-2021,1608.958008,1623.9047204027208,1595.2230664459416,1606.8932408206165,6034233
17-11-2021,1604.6041259765625,1617.665788691909,1598.544612062206,1609.1825130450993,4732492
18-11-2021,1597.3778076171875,1606.3996856383449,1579.0645864039852,1599.352716649209,4326924
22-11-2021,1579.4237060546875,1602.7640583268196,1572.0176327375686,1601.507248210904,6621839
23-11-2021,1559.225098,1568.5163300051972,1535.0767917063313,1557.6091835159034,8436160
24-11-2021,1522.509033203125,1562.4569412087494,1515.3273868200913,1562.0080883098099,7333061
25-11-2021,1546.2081298828125,1549.6193453743401,1523.3614568710827,1526.0995027534211,4476260
26-11-2021,1518.6038818359375,1542.5725803901694,1511.736411257702,1528.3888959632156,4494181
29-11-2021,1522.823242,1536.872360153446,1498.4056877753633,1518.0205379786664,3942776
30-11-2021,1537.455810546875,1552.9412350958905,1526.1447397494564,1530.1844157187647,14808963
01-12-2021,1539.475586,1563.7136407678477,1537.769923125387,1539.5653345943017,5193264
02-12-2021,1569.4141845703125,1571.4340226456925,1536.2888182174336,1539.5654663452515,5559574
03-12-2021,1558.0133056640625,1603.8860489685592,1555.3201883320971,1589.926680297916,6754012
06-12-2021,1521.880615234375,1556.5768551113895,1518.4692895209917,1553.030961200896,3991449
07-12-2021,1536.5582275390625,1548.4528299545664,1520.7136974991224,1527.0873870655005,4202122
08-12-2021,1573.9923095703125,1579.7825772411895,1555.3649157936254,1555.72402,3029169
09-12-2021,1583.0592041015625,1588.4006192094105,1563.8034590731309,1579.0644572385977,2082171
10-12-2021,1579.2889404296875,1583.328616559819,1567.3943384909674,1579.9622197847095,1823469
13-12-2021,1566.1822509765625,1590.1509490203869,1560.9306946167599,1586.2908803107057,4040584
14-12-2021,1572.9151611328125,1582.6552466615897,1535.3910167263787,1553.8389138318717,4768144
15-12-2021,1556.8011474609375,1569.1446005691694,1545.1309736131548,1566.4964126446885,3053149
16-12-2021,1590.375488,1595.7617227930966,1578.166711971042,1582.3410656343676,4481031
17-12-2021,1634.5875244140625,1653.5740233084343,1621.9298950122225,1633.824496428529,18887243
20-12-2021,1614.882813,1642.4872628921498,1604.469448,1617.3963227207378,5773891
21-12-2021,1626.2838134765625,1649.983269,1616.7681538657364,1616.7681538657364,5353584
22-12-2021,1638.043701171875,1642.0385576629037,1626.9570566497555,1638.3130567405199,4156428
23-12-2021,1667.5782470703125,1671.1690702162794,1640.108471920312,1643.9237215129017,4112933
24-12-2021,1672.8746337890625,1683.871529020571,1664.346429323811,1681.357909134367,3780347
27-12-2021,1675.2535400390625,1682.7493608340567,1656.3119713909696,1669.7326279815125,2647733
28-12-2021,1694.868408203125,1701.960305344771,1686.2504551628035,1688.3151125796455,3340933
29-12-2021,1692.669189453125,1700.0752621912457,1684.4551595905639,1690.828848757635,3236635
